fallacy,text
appeal to emotion,"company's slogan ""Expect More. Pay Less."""
false causality,"The bigger a child's shoe size, the better the child's handwriting"
ad populum,"Since many people believe this, then it must be true"
circular reasoning,Senator Randall isn't lying when she says she cares about her constituents—she wouldn't lie to people she cares about.
fallacy of relevance,"A mother is telling her daughter that she went over her data for the month, and the daughter begins telling her mother about getting an A on a math test."
appeal to emotion,A mother tells her children not to leave the yard because there might be wild animals in the woods.
faulty generalization,"If we ban Hummers because they are bad for the environment, eventually the government will ban all cars, so we should not ban Hummers."
false causality,very time Joe goes swimming he is wearing his Speedos. Something about wearing that Speedo must make him want to go swimming.
faulty generalization,"""You were late tonight. You must be cheating!"""
false causality,"Every time I go to sleep, the sun goes down. Therefore, my sleeping causes the sun to set."
ad populum,"Makes people feel as though everyone is doing it, so they should too."
ad hominem,You oppose a senator's proposal to extend government-funded health care to poor minority children because that senator is a liberal Democrat.
fallacy of relevance,"Child: This fish tastes funny. I don’t want to eat this.
Parent: There are children starving in Africa. Eat your dinner."
fallacy of extension,"John: I think we should hire someone to redesign our website.
Lola: You're saying we should throw our money away on external resources instead of building up our in-house design team? That's going to hurt our company in the long run."
appeal to emotion,"""Beware of appeals made only to your feelings and not to your logic."""
ad populum,"taps into people's desire to belong to a group. ""Everyone else is doing it!"""
equivocation,Science shows us that improved quality of life comes through research and invention.
fallacy of extension,"Prof. Jones: ""The university just cut our yearly budget by $10,000."" Prof. Smith: ""What are we going to do?"" Prof. Brown: ""I think we should eliminate one of the teaching assistant positions. That would take care of it."" Prof. Jones: ""We could reduce our scheduled raises instead."" Prof. Brown: "" I can't understand why you want to bleed us dry like that, Jones."""
fallacy of relevance,uses irrelevant information or other techniques to distract from the argument at hand
fallacy of logic,"If Joe eats greasy food, he will feel sick.
Joe feels sick.
Therefore, Joe ate greasy food."
fallacy of extension,"The student didn't want to participate in the beach cleanup. Later, the student's advisor says ""I can't believe she doesn't believe in climate change""."
fallacy of credibility,"This herbal supplement is made from a plant that grows in Zambia. It must be healthier than taking that medication, which is full of chemicals I can't pronounce."
ad populum,"I know the Professor said that the Bridges of Madison County was smarmy trash and lacked any artistic worth. But I still think he's wrong. After all, it was on the best-seller list for over 100 weeks.

Identify the logical fallacy commited in this argument."
fallacy of extension,Those who believe in behavior modification obviously want to try to control everyone by subjecting them to rewards and punishments.
fallacy of logic,"If taxes are lowered, I will have more money to spend.
I have more money to spend.
Therefore, taxes must have been lowered."
appeal to emotion,"If there is no freewill, then we are not ultimately in control of our actions. If this is true, our entire system of justice would be seriously flawed. This would be very bad; therefore, freewill must exist."
fallacy of credibility,Students never used to have cell phones so they don't need them now.
faulty generalization,All football players are dumb jocks.
faulty generalization,"""My cousin said her Math class was hard. The one that I’m in is hard too. All Math classes must be hard.""
This statement is an example of…"
ad hominem,"""In his class president election video, he called his student opponent 'a brown-nosing, suck up who only wanted to get on the teacher's good side,' which got him disqualified"" IS an example of THIS fallacy."
